p,order,method,log_t,log_b,capacity_bits
16,1,AKP,-9.21,-17.64,3.21
16,1,BKSS,-9.21,-33.08,10.93
16,1,FULL_THI,-12.14,-31.03,8.44
16,1,SPARSE_THI,-10.52,-31.69,9.58
16,2,AKP,-7.23,-18.24,6.42
16,2,SPARSE_THI,-8.39,-31.67,14.60
16,3,AKP,-6.68,-18.11,7.75
16,3,SPARSE_THI,-7.72,-30.36,16.16
16,5,SPARSE_THI,-7.21,-29.77,18.15
256,1,AKP,-17.21,-13.76,-2.72
256,1,BKSS,-17.21,-25.64,3.21
256,1,FULL_THI,-21.31,-22.07,-0.62
256,1,SPARSE_THI,-18.56,-25.36,2.39
256,2,AKP,-13.30,-14.30,-0.24
256,2,SPARSE_THI,-14.41,-29.48,9.13
