lut,method,run,noise_base,max_error,input_precision,lut_precision,lut_margin,output_precision,predicted_output_precision,prediction_gap,output_margin,eval_exp_key_switch_count,key_switch_count
ID,AKP25,1,16,0,-32.23,-14.428,,-14.712,-72.38,57.668,,36,72
ID,AKP25,1,17,0,-32.155,-14.447,,-14.921,-72.154,57.233,,36,72
ID,AKP25,1,18,0,-32.281,-14.435,,-14.921,-72.533,57.613,,36,72
ID,AKP25,1,19,0,-32.282,-14.43,,-14.921,-72.537,57.616,,36,72
ID,AKP25,1,20,0,-32.33,-14.426,,-14.921,-72.679,57.759,,36,72
ID,AKP25,1,21,0,-32.246,-14.435,,-14.921,-72.427,57.507,,36,72
ID,AKP25,1,22,0,-32.212,-14.436,,-14.921,-72.327,57.406,,36,72
ID,AKP25,1,23,0,-32.248,-14.436,,-14.921,-72.435,57.514,,36,72
ID,AKP25,1,24,0,-32.187,-14.433,,-14.921,-72.252,57.331,,36,72
ID,AKP25,1,25,0,-31.781,-14.435,,-14.921,-71.033,56.112,,36,72
ID,AKP25,1,26,0,-31.65,-14.448,,-14.921,-70.639,55.718,,36,72
ID,AKP25,1,27,0,-31.238,-14.428,,-14.921,-69.404,54.484,,36,72
ID,AKP25,1,28,0,-30.623,-14.435,,-14.921,-67.559,52.639,,36,72
ID,AKP25,1,29,0,-29.868,-14.436,,-14.921,-65.295,50.374,,36,72
ID,AKP25,1,30,0,-29.02,-14.308,,-14.7,-62.75,48.05,,36,72
ID,AKP25,1,31,0,-28.085,-14.433,,-14.921,-59.945,45.024,,36,72
ID,AKP25,1,32,0,-27.119,-14.428,,-14.921,-57.046,42.125,,36,72
ID,AKP25,1,33,0,-26.142,-14.435,,-14.921,-54.115,39.195,,36,72
ID,AKP25,1,34,0,-25.152,-14.426,,-14.921,-51.147,36.226,,36,72
ID,AKP25,1,35,0,-24.159,-14.425,,-14.921,-48.166,33.245,,36,72
ID,AKP25,1,36,0,-23.161,-14.447,,-14.921,-45.173,30.252,,36,72
ID,AKP25,1,37,0,-22.162,-14.433,,-14.921,-42.177,27.255,,36,72
ID,AKP25,1,38,0,-21.163,-14.433,,-14.922,-39.178,24.257,,36,72
ID,AKP25,1,39,0,-20.163,-14.435,,-14.922,-36.18,21.257,,36,72
ID,AKP25,1,40,0,-19.163,-14.422,,-14.922,-33.18,18.258,,36,72
ID,AKP25,1,41,0,-18.163,-14.43,,-14.919,-30.18,15.261,,36,72
ID,AKP25,1,42,0,-17.163,-14.425,,-14.914,-27.18,12.266,,36,72
ID,AKP25,1,43,0,-16.163,-14.42,,-14.909,-24.18,9.271,,36,72
ID,AKP25,1,44,0,-15.163,-14.413,,-14.905,-21.18,6.275,,36,72
ID,AKP25,1,45,0,-14.163,-14.018,,-14.518,-18.18,3.662,,36,72
ID,AKP25,1,46,0,-13.163,-12.409,,-12.904,-15.18,2.276,,36,72
