lut,method,run,noise_base,max_error,input_precision,lut_precision,lut_margin,output_precision,predicted_output_precision,prediction_gap,output_margin,eval_exp_key_switch_count,key_switch_count
ID,BKSS24,1,16,0,-31.435,-33.083,,-33.487,-54.158,20.671,,36,28
ID,BKSS24,1,17,0,-31.337,-33.089,,-33.487,-53.962,20.475,,36,28
ID,BKSS24,1,18,0,-31.409,-33.085,,-33.486,-54.106,20.62,,36,28
ID,BKSS24,1,19,0,-31.234,-33.087,,-33.487,-53.755,20.268,,36,28
ID,BKSS24,1,20,0,-31.353,-33.083,,-33.486,-53.993,20.507,,36,28
ID,BKSS24,1,21,0,-31.18,-33.081,,-33.487,-53.647,20.161,,36,28
ID,BKSS24,1,22,0,-31.322,-33.084,,-33.486,-53.932,20.445,,36,28
ID,BKSS24,1,23,0,-31.309,-33.081,,-33.486,-53.906,20.419,,36,28
ID,BKSS24,1,24,0,-31.26,-33.084,,-33.486,-53.807,20.321,,36,28
ID,BKSS24,1,25,0,-31.123,-33.079,,-33.486,-53.534,20.048,,36,28
ID,BKSS24,1,26,0,-31.045,-33.083,,-33.486,-53.377,19.891,,36,28
ID,BKSS24,1,27,0,-30.747,-33.081,,-33.486,-52.782,19.296,,36,28
ID,BKSS24,1,28,0,-30.282,-33.083,,-33.484,-51.852,18.367,,36,28
ID,BKSS24,1,29,0,-29.643,-33.079,,-33.482,-50.574,17.092,,36,28
ID,BKSS24,1,30,0,-28.89,-33.071,,-33.478,-49.067,15.589,,36,28
ID,BKSS24,1,31,0,-28.015,-33.064,,-33.469,-47.317,13.847,,36,28
ID,BKSS24,1,32,0,-27.09,-33.045,,-33.452,-45.468,12.016,,36,28
ID,BKSS24,1,33,0,-26.125,-33.012,,-33.418,-43.537,10.12,,36,28
ID,BKSS24,1,34,0,-25.145,-32.944,,-33.349,-41.578,8.228,,36,28
ID,BKSS24,1,35,0,-24.154,-32.806,,-33.216,-39.596,6.38,,36,28
ID,BKSS24,1,36,0,-23.159,-32.541,,-32.958,-37.605,4.647,,36,28
ID,BKSS24,1,37,0,-22.161,-32.061,,-32.485,-35.61,3.124,,36,28
ID,BKSS24,1,38,0,-21.162,-31.255,,-31.694,-33.612,1.918,,36,28
ID,BKSS24,1,39,0,-20.163,-30.072,,-30.53,-31.613,1.083,,36,28
ID,BKSS24,1,40,0,-19.163,-28.563,,-29.037,-29.614,0.577,,36,28
ID,BKSS24,1,41,0,-18.163,-26.832,,-27.317,-27.614,0.297,,36,28
ID,BKSS24,1,42,0,-17.163,-24.971,,-25.464,-25.614,0.151,,36,28
ID,BKSS24,1,43,0,-16.163,-23.043,,-23.539,-23.615,0.076,,36,28
ID,BKSS24,1,44,0,-15.163,-21.079,,-21.577,-21.615,0.037,,36,28
ID,BKSS24,1,45,0,-14.163,-19.096,,-19.595,-19.615,0.02,,36,28
ID,BKSS24,1,46,0,-13.163,-17.103,,-17.602,-17.615,0.012,,36,28
ID,BKSS24,1,47,0,-12.163,-15.104,,-15.604,-15.615,0.011,,36,28
ID,BKSS24,1,48,0,-11.163,-13.1,,-13.6,-13.615,0.014,,36,28
ID,BKSS24,1,49,0,-10.163,-11.089,,-11.589,-11.615,0.025,,36,28
ID,BKSS24,1,50,0,-9.163,-9.067,,-9.567,-9.615,0.048,,36,28
ID,BKSS24,1,51,0,-8.163,-7.025,,-7.525,-7.615,0.09,,36,28
ID,BKSS24,1,52,0,-7.163,-4.954,,-5.454,-5.615,0.161,,36,28
ID,BKSS24,1,53,2,-6.163,-4.669,,-5.169,-3.615,-1.554,,36,28
