lut,method,run,noise_base,max_error,input_precision,lut_precision,lut_margin,output_precision,predicted_output_precision,prediction_gap,output_margin,eval_exp_key_switch_count,key_switch_count
ID,FULL THI,1,16,0,-31.108,-31.039,,-31.043,-50.573,19.53,,36,22
ID,FULL THI,1,17,0,-31.263,-31.113,,-31.122,-50.883,19.761,,36,22
ID,FULL THI,1,18,0,-31.244,-31.041,,-31.043,-50.846,19.803,,36,22
ID,FULL THI,1,19,0,-31.348,-31.04,,-31.043,-51.053,20.011,,36,22
ID,FULL THI,1,20,0,-31.242,-31.04,,-31.043,-50.841,19.799,,36,22
ID,FULL THI,1,21,0,-31.205,-31.155,,-31.173,-50.767,19.595,,36,22
ID,FULL THI,1,22,0,-31.323,-31.042,,-31.043,-51.003,19.96,,36,22
ID,FULL THI,1,23,0,-31.29,-31.041,,-31.043,-50.937,19.894,,36,22
ID,FULL THI,1,24,0,-31.331,-31.039,,-31.043,-51.02,19.977,,36,22
ID,FULL THI,1,25,0,-31.168,-31.061,,-31.122,-50.693,19.571,,36,22
ID,FULL THI,1,26,0,-30.89,-31.039,,-31.043,-50.137,19.094,,36,22
ID,FULL THI,1,27,0,-30.774,-31.039,,-31.043,-49.905,18.862,,36,22
ID,FULL THI,1,28,0,-30.308,-31.114,,-31.123,-48.973,17.85,,36,22
ID,FULL THI,1,29,0,-29.626,-31.042,,-31.044,-47.609,16.565,,36,22
ID,FULL THI,1,30,0,-28.893,-31.158,,-31.173,-46.143,14.97,,36,22
ID,FULL THI,1,31,0,-28.024,-31.118,,-31.127,-44.405,13.278,,36,22
ID,FULL THI,1,32,0,-27.092,-31.125,,-31.132,-42.542,11.41,,36,22
ID,FULL THI,1,33,0,-26.123,-31.054,,-31.061,-40.603,9.542,,36,22
ID,FULL THI,1,34,0,-25.143,-30.995,,-31.101,-38.643,7.542,,36,22
ID,FULL THI,1,35,0,-24.153,-30.74,,-30.834,-36.663,5.829,,36,22
ID,FULL THI,1,36,0,-23.158,-30.416,,-30.462,-34.674,4.212,,36,22
ID,FULL THI,1,37,0,-22.161,-29.597,,-29.651,-32.68,3.029,,36,22
ID,FULL THI,1,38,0,-21.162,-28.617,,-28.634,-30.682,2.048,,36,22
ID,FULL THI,1,39,0,-20.163,-27.258,,-27.282,-28.683,1.401,,36,22
ID,FULL THI,1,40,0,-19.163,-25.677,,-25.691,-26.684,0.992,,36,22
ID,FULL THI,1,41,0,-18.163,-23.919,,-23.927,-24.684,0.757,,36,22
ID,FULL THI,1,42,0,-17.163,-22.047,,-22.059,-22.684,0.626,,36,22
ID,FULL THI,1,43,0,-16.163,-20.115,,-20.126,-20.684,0.558,,36,22
ID,FULL THI,1,44,0,-15.163,-18.149,,-18.161,-18.684,0.524,,36,22
ID,FULL THI,1,45,0,-14.163,-16.166,,-16.177,-16.684,0.507,,36,22
ID,FULL THI,1,46,0,-13.163,-14.174,,-14.185,-14.684,0.5,,36,22
ID,FULL THI,1,47,0,-12.163,-12.177,,-12.186,-12.684,0.498,,36,22
ID,FULL THI,1,48,0,-11.163,-10.177,,-10.183,-10.684,0.502,,36,22
ID,FULL THI,1,49,0,-10.163,-8.173,,-8.175,-8.684,0.51,,36,22
ID,FULL THI,1,50,0,-9.163,-6.165,,-6.165,-6.684,0.519,,36,22
ID,FULL THI,1,51,15,-8.163,-4.747,,-5.105,-4.684,-0.42,,36,22
ID,FULL THI,1,52,14,-7.163,-4.622,,-5.042,-2.684,-2.358,,36,22
ID,FULL THI,1,53,14,-6.163,-4.689,,-5.03,-0.684,-4.346,,36,22
