lut,method,run,noise_base,max_error,input_precision,lut_precision,lut_margin,output_precision,predicted_output_precision,prediction_gap,output_margin,eval_exp_key_switch_count,key_switch_count
ID,Sparse THI,1,16,0,-32.283,-30.363,,-30.869,-106.46,75.59,,36,34
ID,Sparse THI,1,17,0,-32.171,-30.363,,-30.869,-106.01,75.141,,36,34
ID,Sparse THI,1,18,0,-32.335,-30.363,,-30.869,-106.668,75.798,,36,34
ID,Sparse THI,1,19,0,-32.162,-30.363,,-30.869,-105.974,75.105,,36,34
ID,Sparse THI,1,20,0,-32.214,-30.363,,-30.869,-106.183,75.314,,36,34
ID,Sparse THI,1,21,0,-32.162,-30.363,,-30.869,-105.975,75.106,,36,34
ID,Sparse THI,1,22,0,-32.299,-30.363,,-30.869,-106.521,75.652,,36,34
ID,Sparse THI,1,23,0,-32.265,-30.363,,-30.869,-106.388,75.519,,36,34
ID,Sparse THI,1,24,0,-32.059,-30.363,,-30.87,-105.564,74.694,,36,34
ID,Sparse THI,1,25,0,-31.917,-30.363,,-30.869,-104.996,74.126,,36,34
ID,Sparse THI,1,26,0,-31.628,-30.363,,-30.869,-103.837,72.968,,36,34
ID,Sparse THI,1,27,0,-31.257,-30.363,,-30.869,-102.354,71.485,,36,34
ID,Sparse THI,1,28,0,-30.597,-30.363,,-30.869,-99.713,68.844,,36,34
ID,Sparse THI,1,29,0,-29.872,-30.363,,-30.869,-96.813,65.943,,36,34
ID,Sparse THI,1,30,0,-28.998,-30.363,,-30.869,-93.319,62.45,,36,34
ID,Sparse THI,1,31,0,-28.074,-30.363,,-30.869,-89.624,58.754,,36,34
ID,Sparse THI,1,32,0,-27.123,-30.363,,-30.869,-85.819,54.95,,36,34
ID,Sparse THI,1,33,0,-26.14,-30.363,,-30.869,-81.887,51.017,,36,34
ID,Sparse THI,1,34,0,-25.153,-30.363,,-30.869,-77.937,47.067,,36,34
ID,Sparse THI,1,35,0,-24.158,-30.363,,-30.869,-73.959,43.09,,36,34
ID,Sparse THI,1,36,0,-23.161,-30.363,,-30.869,-69.969,39.1,,36,34
ID,Sparse THI,1,37,0,-22.162,-30.363,,-30.869,-65.974,35.105,,36,34
ID,Sparse THI,1,38,0,-21.163,-30.363,,-30.87,-61.977,31.107,,36,34
ID,Sparse THI,1,39,0,-20.163,-30.363,,-30.869,-57.979,27.109,,36,34
ID,Sparse THI,1,40,0,-19.163,-30.363,,-30.869,-53.979,23.11,,36,34
ID,Sparse THI,1,41,0,-18.163,-30.363,,-30.869,-49.98,19.11,,36,34
ID,Sparse THI,1,42,0,-17.163,-30.363,,-30.869,-45.98,15.11,,36,34
ID,Sparse THI,1,43,0,-16.163,-30.364,,-30.869,-41.98,11.11,,36,34
ID,Sparse THI,1,44,0,-15.163,-30.372,,-30.869,-37.98,7.111,,36,34
ID,Sparse THI,1,45,0,-14.163,-30.376,,-30.864,-33.98,3.115,,36,34
ID,Sparse THI,1,46,0,-13.163,-29.46,,-29.954,-29.98,0.026,,36,34
ID,Sparse THI,1,47,0,-12.163,-25.688,,-26.188,-25.98,-0.208,,36,34
ID,Sparse THI,1,48,0,-11.163,-21.682,,-22.182,-21.98,-0.202,,36,34
ID,Sparse THI,1,49,0,-10.163,-17.64,,-18.14,-17.98,-0.16,,36,34
ID,Sparse THI,1,50,0,-9.163,-13.575,,-14.075,-13.98,-0.095,,36,34
ID,Sparse THI,1,51,0,-8.163,-9.531,,-10.031,-9.98,-0.051,,36,34
ID,Sparse THI,1,52,0,-7.163,-5.763,,-6.263,-5.98,-0.283,,36,34
ID,Sparse THI,1,53,13,-6.163,-4.572,,-5.072,-1.98,-3.093,,36,34
